N_WORKERS,COMM_PERIOD,AGG_MODE,COMM_MODE,NONIID,UNBALANCED,TIME,ACCURACY,PKT_SIZE
64,100,0,0,0,0,15.070692,88.0200,1.889
64,100,0,0,0,1,17.314966,87.8000,1.889
64,100,0,0,1,0,15.881786,63.0900,1.889
64,100,0,0,1,1,16.010049,42.5000,1.889
64,100,1,0,0,0,14.793734,88.0200,1.889
64,100,1,0,0,1,18.162108,87.8000,1.889
64,100,1,0,1,0,48.790727,63.0900,1.889
64,100,1,0,1,1,19.430286,42.5000,1.889
8,1,0,0,0,0,81.298815,91.2600,20.985
8,1,0,0,0,1,81.653536,91.2500,20.985
8,1,0,0,1,0,80.870715,88.8900,20.985
8,1,0,0,1,1,83.459740,82.5300,20.985
8,1,0,1,0,0,80.728319,90.9700,8.634
8,1,0,1,0,1,80.184238,91.4400,14.750
8,1,0,1,1,0,80.495709,72.0800,10.073
8,1,0,1,1,1,78.495428,83.2400,12.381
8,1,0,2,0,0,80.423302,90.7900,3.927
8,1,0,2,0,1,80.181410,91.4700,3.837
8,1,0,2,1,0,80.966933,69.6600,3.897
8,1,0,2,1,1,77.063045,77.2300,3.867
8,1,1,0,0,0,80.815287,91.2600,20.985
8,1,1,0,0,1,82.719007,91.2500,20.985
8,1,1,0,1,0,80.813955,88.8900,20.985
8,1,1,0,1,1,83.918575,82.5300,20.985
8,1,1,1,0,0,81.006431,91.0000,8.634
8,1,1,1,0,1,79.507657,91.3900,14.750
8,1,1,1,1,0,79.796200,67.7500,10.073
8,1,1,1,1,1,79.534969,83.1900,12.381
8,1,1,1,1,1,107.149157,91.4600,13.281
8,1,1,1,1,1,81.414921,86.9800,13.041
8,1,1,2,0,0,80.554017,90.7900,3.927
8,1,1,2,0,1,80.846795,91.4700,3.837
8,1,1,2,1,0,80.704801,69.6600,3.897
8,1,1,2,1,1,77.941389,77.2300,3.867
8,1,2,1,1,1,82.842425,91.4600,13.281
8,10,0,0,0,0,68.642559,91.2600,2.099
8,10,0,0,0,1,65.926158,91.3200,2.099
8,10,0,0,1,0,68.014077,72.7800,2.099
8,10,0,0,1,1,65.249970,73.1400,2.099
8,10,1,0,0,0,67.467648,91.2600,2.099
8,10,1,0,0,1,66.094950,91.3200,2.099
8,10,1,0,1,0,68.998640,72.7800,2.099
8,10,1,0,1,1,64.637299,73.1400,2.099
8,20,0,0,0,0,67.701608,91.2800,1.049
8,20,0,0,0,1,64.991122,91.2400,1.049
8,20,0,0,1,0,68.219662,63.3200,1.049
8,20,0,0,1,1,65.157895,67.7200,1.049
8,20,1,0,0,0,67.877507,91.2800,1.049
8,20,1,0,0,1,64.454745,91.2400,1.049
8,20,1,0,1,0,66.873468,63.3200,1.049
8,20,1,0,1,1,65.949049,67.7200,1.049
8,50,0,0,0,0,68.193072,91.2800,0.420
8,50,0,0,0,1,65.553308,91.1300,0.420
8,50,0,0,1,0,67.023477,52.6900,0.420
8,50,0,0,1,1,65.230125,54.6500,0.420
8,50,1,0,0,0,66.717027,91.2800,0.420
8,50,1,0,0,1,63.644001,91.1300,0.420
8,50,1,0,1,0,67.162615,52.6900,0.420
8,50,1,0,1,1,64.045047,54.6500,0.420
8,100,0,0,0,0,66.603786,91.3000,0.210
8,100,0,0,0,1,63.259140,90.9600,0.210
8,100,0,0,1,0,66.174021,50.8000,0.210
8,100,0,0,1,1,64.241412,45.8500,0.210
8,100,1,0,0,0,67.274951,91.3000,0.210
8,100,1,0,0,1,63.234179,90.9600,0.210
8,100,1,0,1,0,67.016227,50.8000,0.210
8,100,1,0,1,1,63.523250,45.8500,0.210
