N_WORKERS,COMM_PERIOD,AGG_MODE,COMM_MODE,NONIID,UNBALANCED,TIME,ACCURACY,PKT_SIZE
8,1,1,1,1,0,79.875899,60.8700,10.163
8,1,1,1,1,1,81.037678,69.3500,12.741
8,1,1,2,0,0,81.135974,83.0400,3.897
8,1,1,2,0,1,79.630816,83.6000,3.867
8,1,1,2,1,0,81.935009,33.8200,3.747
8,1,1,2,1,0,,23.3300,
8,1,1,2,1,1,79.068699,43.8600,3.837
8,10,0,0,0,0,68.282716,83.3000,2.099
8,10,0,0,0,1,64.872419,83.2800,2.099
8,10,0,0,1,0,68.519157,52.7500,2.099
8,10,0,0,1,1,65.865645,55.0800,2.099
8,10,1,0,0,0,67.744885,83.3000,2.099
8,10,1,0,0,1,65.448938,83.2800,2.099
8,10,1,0,1,0,67.134549,52.7500,2.099
8,10,1,0,1,1,65.759144,55.0800,2.099
8,20,0,0,0,0,66.911958,83.2800,1.049
8,20,0,0,0,1,63.879532,83.2100,1.049
8,20,0,0,1,0,68.188359,48.4800,1.049
8,20,0,0,1,1,64.575735,44.8100,1.049
8,20,1,0,0,0,67.732052,83.2800,1.049
8,20,1,0,0,1,65.103688,83.2100,1.049
8,20,1,0,1,0,66.715260,48.4800,1.049
8,20,1,0,1,1,64.786448,44.8100,1.049
8,50,0,0,0,0,66.954388,83.2600,0.420
8,50,0,0,0,1,65.840092,83.1100,0.420
8,50,0,0,1,0,66.602004,45.9500,0.420
8,50,0,0,1,1,64.311440,29.6100,0.420
8,50,1,0,0,0,66.954560,83.2600,0.420
8,50,1,0,0,1,63.690424,83.1100,0.420
8,50,1,0,1,0,67.540859,45.9500,0.420
8,50,1,0,1,1,63.758009,29.6100,0.420
8,100,0,0,0,0,66.328972,83.2000,0.210
8,100,0,0,0,1,65.227352,83.0300,0.210
8,100,0,0,1,0,66.373390,43.1500,0.210
8,100,0,0,1,1,63.537794,25.0600,0.210
8,100,1,0,0,0,66.059596,83.2000,0.210
8,100,1,0,0,1,63.281691,83.0300,0.210
8,100,1,0,1,0,66.455516,43.1500,0.210
8,100,1,0,1,1,63.779532,25.0600,0.210
